Name,Language_ID,Language,Region,Longitude,Latitude,Text,Photo,Audio,Video,Link,Credit_Photo,Credit_Audio,Credit_Video,More_Info,More_Info_URL,Notes
Surprising Revival,13,Kichwa,"Otavalo, Equador",-78.26667,0.23333,"Both the Kichwa language and  music have suffered significant decline due to centuries of oppression, religious conversion, epidemics, and adaptation of other languages and styles of music. Despite the assumption that the language and musical traditions have ceased to be relevant, younger generations, children, and young adults continue to learn. Flute master Mariano Maldonado is teaching Michael Chiza, a student at Hatun Kotama",Images\Kichwa\Mariano-Maldonado-and-student-Michael-Chiza2.jpg,,,,Photo Jesse M. Vallejo,,,,,
A Happy Transition ,13,Kichwa,"Otavalo, Equador",-78.26667,0.23333,"In the days following an adult’s death, the grieving party plays a series of games to bring cheer and lighten everyone’s moods. Mariano Maldonado explains, “[We play games] because we see death as only one step to another life. There’s sadness, but we want the spirit to leave happily because it’s going to a new life.” The song ""Puchka Paskachik"" (Umbrella Swift) is played by Hatun Kotama Flute School",Images\Kichwa\DSC_1588-Mt-Cotacachi.jpg2.jpg,Audio\Kichwa\kichwa_music_clip.mp3,,,Photo Jesse M. Vallejo,"From the Smithsonian Folkways album <i>¡Así Kotama! The Flutes of Otavalo, Ecuador</i> ",,,,We could hyperlink the album title to http://www.folkways.si.edu/
Centro Cultural Masis,15,"Quechua, Bolivia","Sucre, Bolivia",-65.2533,-19.04476,"“It has helped me reorient myself with my own roots, and has made me feel proud of my entire culture that I was forgetting.” Rosalio Ochoa Saavedra about the Centro Cultural Masis. In 1980 Centro Cultural Masis was founded by the traditional music ensemble Los Masis with the mission to maintain, revaluate, and diffuse Bolivian cultural heritage. Today the Center also embraces a bilingual school (Quechua-Spanish) that helps children find their Quechua identity through various cultural classes. The importance of the Center is tremendous. ",Images\Bolivia_Kallawaya_Quechua\Quechua\P1030894.jpg2.jpg,,,,Photo Monika Stockheim,,,,,
The Los Masis Music Group from Bolivia,15,"Quechua, Bolivia","Sucre, Bolivia",-65.2533,-19.04476,"""We realized that the best way to project to the future everything that our grandparents and our parents taught us was to plant cultural seeds in our children, our youth."" Roberto Sahonero Gutiérrez, Director, Los Masis. In 1969, a handful of young Bolivian musicians from Sucre, took a bold step and began to use native Andean music and dance as a way to change prevailing attitudes of discrimination against the country’s indigenous peoples. Los Masis became the city’s first traditional Andean music group, and has been performing throughout Bolivia and abroad for over three decades. ",Images\Bolivia_Kallawaya_Quechua\Quechua\IMG_1369.jpg2.jpg,,,,Photo Monika Stockheim,,,,,Audio missing
Quechua is back in the Classroom,15,"Quechua, Bolivia","Tarabuco, Bolivia",-64.91666,-19.17626,"Together with the Tarabuquenos, Los Masis established the region’s first bilingual Quechua-Spanish school in the rural Tarabuco community of Miscamayu, a pioneering achievement that became a model for Bolivia’s pathbreaking bilingual educational reform, which incorporates the Quechua language for the first time after a long history of exclusion.  ",Images\Bolivia_Kallawaya_Quechua\Quechua\IMG_1362.jpg3.jpg,,,,Photo Monika Stockheim,,,,,
Enduring the Soul of the Zapotec People,16,Isthmus Zapotec,"Juchitán de Zaragoza, Oaxaca, Mexico",-95.019926,16.436818,"“Our language is a red macaw that descended from the sky carrying the umbilical cord that ties our soul to the clouds. This is where our identity lives. This is where our memories reside. I endeavor to protect our language, so that the soul of our people may endure, so that our children will continue to sing the words our elders have sung for centuries: may the language of the clouds live on.” Víctor Cata, Isthmus Zapotec speaker, Juchitán de Zaragoza, Oaxaca, Mexico",Images\Zapotec\FOTO-6-ROSELIA-CHACA2.jpg,,,,Photo Roselia Chaca,,,,,
Renewed Focus on Language and Culture,16,Isthmus Zapotec,"Juchitán de Zaragoza, Oaxaca, Mexico",-95.01941,16.43951,"Many Juchitecos are Zapotec and are bilingual, speaking both Spanish and a dialect of the indigenous Zapotec language. The Zapotec have a rich cultural tradition in the arts, and the Zapotec anti-government movements of the 70s and 80s included a strong traditional revival which included an explosion of Zapotec art and a renewed focus on preserving Zapotec culture and tradition.",Images\Zapotec\72.jpg,,,,Photo Roselia Chaca,,,,,
Nighttime Celebrations,16,Isthmus Zapotec,"Juchitán de Zaragoza, Oaxaca, Mexico",-94.96314,16.63102,"The ""Saa sti ca binniza"" in Juchitán de Zaragoza, Oaxaca, Mexico are nighttime celebrations in honor of Catholic and Zapotec deities. The Saa sti ca binniza are the most important celebrations in Isthmus Zapotec life and the local Zapotec language is crucial in the social interactions that are part of the preparatory activities and as a means to enact protocols and rites associated with the celebration. Yet the Saa sti ca binniza represent one of the shrinking numbers of domains that use Isthmus Zapotec.",Images\Zapotec\DSC02662-2.jpg,,,,Photo Roselia Chaca,,,,,
Learning From the Elders ,17,Yiddish,"New York City, State of New York, USA",-73.95742,40.63975,"Jake Shulman-Ment (right), born in New York City, is a violinist who has recorded extensively throughout North America and Europe since the age of fourteen in collaboration with various groups and renowned artists whose intentions are to promote Klezmer and Eastern European folk music through creative platforms. He collect, study, perform, and document traditional folk music in Hungary, Romania, and Greece. In the photo Jake is meeting Nicolae Covaci from Dragomiresti, one of the oldest living Maramures folk fiddler in Romania. Nicolae has been playing dances since 1929, and has a wide repertoire of rare Jewish tunes learned from playing Jewish weddings before WWII.",Images\Yiddish\Nicolae_Covaci_Jake_Shulman-Ment_by_Eleanore_Weill2.jpg,,,,Photo Eleanore Weill,,,,,
Cultural and Natural Sustainability,18,Purari - I'ai dialect,"Mapaio, Purari Delta, Papua New Guinea",145.01325,-7.60322,"The interweaving of nature and culture for the community is manifested in songs, stories, food gatherings, and craft production. Unfortunately, the Purari Delta is increasingly being eroded by ongoing large-scale logging and natural gas extraction. As a result, the region's biocultural heritage is severely threatened and unique knowledge of the Delta's biodiversity will be lost. Through collaborative documentation members of Mapaio village are working to educate their youth and work towards sustaining their traditions for the future. In the photo Aea Kevin is weaving a traditional Akeke basket.",Images\Purari_Delta_PNG\Aea_Kevin_plaiting_an_akeke_(Purari_River_March_2010)2.jpg,,,,Photo courtesy Joshua A. Bell,,,,,
"The Poiki Pakoni String Band Play the Song ""Ei Na Eiae Mo I'ima""",18,Purari - I'ai dialect,"Mapaio, Purari Delta, Papua New Guinea",145.01325,-7.60322,"The song was composed by the now deceased David Noho, also known as ""Koivi Kunu"" of Mapaio village. The Poiki Pakoni string band sing in the I’ai dialect. This particular song is about death and reflecting on what happens to loved ones when they leave us. It dwells on the happiness of living and sharing, and reflects on the melancholy that follows someone's passing.",Images\Purari_Delta_PNG\Women_off_for_fishing_in_morning_(Mapaio_March_2010)2.jpg,Audio\Papua_New_Guinea\Ei_Na_Eiae_Mo_I'ima(David_Noho_Koivi_Kunu).MP3,,,Photo Joshua A. Bell,Recorded by Joshua A. Bell,,,,
"""Older Brothers"" of the World",19,Arhuaco,"Sierra Nevada de Santa Marta, Colombia",-73.85559,11.00051,"The Arhuaco people live near the perpetual snows of the Sierra Nevada of Santa Marta, in the north of the country. Arhuacos view themselves as “Older Brothers,” looking after the world and protecting nature. Their language, linked to the Chibcha linguistic family, is considered stable but in danger according to UNESCO’s Language Vitality Index. Ritual specialists, called Mamos, are charged with knowledge of traditional healing and customs. They use a different, sacred, language during their ceremonies.",,,,,,,,,,Photo missing
Mountain Life,20,Uitoto,"Amazonas, Colombia",-72.18018,-1.64772,"Rising up at 19,000 feet the Sierra Nevada de Santa Marta Mountain is considered the highest costal mountain and has a wide biologically diversity. The Arhuaco tribe is very connected to their surrounding nature; they hold religious rituals in forest clearings, giving thanks to the creators of the mountains and rivers and the white hats worn by the Arhuaco men symbolizes the snow white peaks of the sacred mountains.
",,,,,,,,,,Photo missing
